name,type,source_url,source_text
alternaria blight,,,
alternaria blight of potato,,,
apple black rot,,,
apple black-rot,,,
apple scab,fungus,https://en.wikipedia.org/wiki/Apple_scab,"Apple scab is a common disease of plants in the rose family (Rosaceae) that is caused by the ascomycete fungus Venturia inaequalis. While this disease affects several plant genera, including Sorbus, Cotoneaster, and Pyrus, it is most commonly associated with the infection of Malus trees, including s"
apple scab disease,,,
asian soybean rust,unknown,https://en.wikipedia.org/wiki/Asian_soybean_rust,
bacterial leaf blight of rice,,,
bacterial spot of pepper,,,
bacterial spot of tomato,,,
banana black sigatoka,,,
banana panama disease,,,
banana wilt,unknown,https://en.wikipedia.org/wiki/Banana_Hill,
beet necrotic yellow vein furovirus,,,
black leaf streak disease,fungus,https://en.wikipedia.org/wiki/Black_leaf_streak_disease,"Black sigatoka is a leaf-spot disease of banana plants caused by the ascomycete fungus Mycosphaerella fijiensis (Morelet), also known as black leaf streak. It was discovered in 1963 and named for its similarities with yellow Sigatoka, which is caused by Mycosphaerella musicola (Mulder), which was it"
black measles,bacteria,https://en.wikipedia.org/wiki/Black_measles,"Rocky Mountain spotted fever (RMSF) is a bacterial disease spread by ticks. It typically begins with a fever and headache, which is followed a few days later with the development of a rash. The rash is generally made up of small spots of bleeding and starts on the wrists and ankles. Other symptoms m"
black rot of apple,,,
black rot of grape,fungus,https://en.wikipedia.org/wiki/Black_rot_(grape_disease),"Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather. The disease ""originated in eastern North America, but now occurs in portions of Europe, South America, and Asia. It can cause complete crop loss in warm,"
black rust,fungus,https://en.wikipedia.org/wiki/Black_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
black sigatoka,fungus,https://en.wikipedia.org/wiki/Black_sigatoka,"Black sigatoka is a leaf-spot disease of banana plants caused by the ascomycete fungus Mycosphaerella fijiensis (Morelet), also known as black leaf streak. It was discovered in 1963 and named for its similarities with yellow Sigatoka, which is caused by Mycosphaerella musicola (Mulder), which was it"
blast disease of rice,,,
brown rust of wheat,,,
brown spot of rice,,,
cercospora leaf spot of maize,,,
cereal powdery mildew,,,
cereal rust,fungus,https://en.wikipedia.org/wiki/Cereal_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
cherry powdery mildew,,,
citrus greening,unknown,https://en.wikipedia.org/wiki/Citrus_greening_disease,
citrus greening disease,unknown,https://en.wikipedia.org/wiki/Citrus_greening_disease,
citrus haunglongbing,,,
citrus hlb,fungus,https://en.wikipedia.org/wiki/Citrus_black_spot,"Citrus black spot is a fungal disease caused by Phyllosticta citricarpa(previously known as Guignardia citricarpa). This Ascomycete fungus affects citrus plants throughout subtropical climates, causing a reduction in both fruit quantity and quality.
Symptoms include both fruit and leaf lesions, the "
cladosporium leaf mold,,,
clubroot,unknown,https://en.wikipedia.org/wiki/Clubroot,
coffee leaf rust,fungus,https://en.wikipedia.org/wiki/Coffee_leaf_rust,"Hemileia vastatrix is a multicellular basidiomycete fungus of the order Pucciniales (previously also known as Uredinales) that causes coffee leaf rust (CLR), a disease affecting the coffee plant. Coffee serves as the obligate host of coffee rust, that is, the rust must have access to and come into p"
coffee rust,fungus,https://en.wikipedia.org/wiki/Coffee_rust,"Hemileia vastatrix is a multicellular basidiomycete fungus of the order Pucciniales (previously also known as Uredinales) that causes coffee leaf rust (CLR), a disease affecting the coffee plant. Coffee serves as the obligate host of coffee rust, that is, the rust must have access to and come into p"
common rust,fungus,https://en.wikipedia.org/wiki/Common_rust,"Puccinia sorghi, or common rust of maize, is a species of rust fungus that infects corn and species from the plant genus Oxalis."
common rust of maize,,,
corn common rust,,,
corn smut,unknown,https://en.wikipedia.org/wiki/Corn_smut,
cpm,unknown,https://en.wikipedia.org/wiki/CPM,
cucurbit powdery mildew,fungus,https://en.wikipedia.org/wiki/Cucurbit_powdery_mildew,"Erysiphaceae (commonly known as powdery mildews) is a family of ascomycete fungi in the order Helotiales. The members of this family are obligate parasites with a superficial mycelium that forms a characteristic white, powdery coating on their host plants.
The family contains seventeen genera and ar"
damping off,unknown,https://en.wikipedia.org/wiki/Damping_off,
damping-off,unknown,https://en.wikipedia.org/wiki/Damping_off,
downy mildew of cucurbits,,,
early blight,fungus,https://en.wikipedia.org/wiki/Early_blight,"Alternaria solani is a fungal pathogen that produces a disease in tomato and potato plants called early blight. The pathogen produces distinctive ""bullseye"" patterned leaf spots and can also cause stem lesions and fruit rot on tomato and tuber blight on potato. Despite the name ""early"", foliar sympt"
early blight of potato,,,
early blight of tomato,,,
erwinia amylovora,bacteria,https://en.wikipedia.org/wiki/Erwinia_amylovora,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season.
The causal pathogen is Erw"
esca disease,,,
fire blight,bacteria,https://en.wikipedia.org/wiki/Fire_blight,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season.
The causal pathogen is Erw"
fireblight,bacteria,https://en.wikipedia.org/wiki/Fire_blight,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season.
The causal pathogen is Erw"
fusarium scab,fungus,https://en.wikipedia.org/wiki/Fusarium_subglutinans,Fusarium subglutinans is a fungal plant pathogen.
fusarium sporotrichiella,fungus,https://en.wikipedia.org/wiki/Fusarium_sporotrichiella,"Fusarium sporotrichioides is a fungal plant pathogen, one of various Fusarium species responsible for damaging crops, in particular causing a condition known as Fusarium head blight in wheat, consequently being of notable agricultural and economic importance. The species is ecologically widespread, "
fusarium sporotrichioides,fungus,https://en.wikipedia.org/wiki/Fusarium_sporotrichioides,"Fusarium sporotrichioides is a fungal plant pathogen, one of various Fusarium species responsible for damaging crops, in particular causing a condition known as Fusarium head blight in wheat, consequently being of notable agricultural and economic importance. The species is ecologically widespread, "
fusarium sudden death,,,
fusarium wilt,fungus,https://en.wikipedia.org/wiki/Fusarium_wilt,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum). The species is further divided "
fusarium wilt of banana,fungus,https://en.wikipedia.org/wiki/Fusarium_wilt_of_banana,"Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense. The pathogen is resistant to fungicides, and its control is limited to phytosanitary measures.
During the 1950s, an outbreak of"
fusarium wilt of melon,,,
fusarium wilt of muskmelons,,,
gbr,unknown,https://en.wikipedia.org/wiki/GBR_TV,
gpm,unknown,https://en.wikipedia.org/wiki/Gpm,
grape black measles,,,
grape black rot,fungus,https://en.wikipedia.org/wiki/Grape_black_rot,"Grape black rot is a fungal disease caused by an ascomycetous fungus, Guignardia bidwellii, that attacks grape vines during hot and humid weather. The disease ""originated in eastern North America, but now occurs in portions of Europe, South America, and Asia. It can cause complete crop loss in warm,"
grape esca (black measles),,,
grape leaf spot,fungus,https://en.wikipedia.org/wiki/Gray_leaf_spot,"Gray leaf spot (GLS) is a foliar fungal disease that affects grasses. In grasses other than maize, it is caused by Pyricularia grisea, which only infects perennial ryegrass, tall fescue, and St. Augustine grass in places with warm and rainy climates."
grape oidium,unknown,https://en.wikipedia.org/wiki/Graphidium,
grape powdery mildew,unknown,https://en.wikipedia.org/wiki/Grape_powdery_mildew_in_California,
grape rot,unknown,https://en.wikipedia.org/wiki/Grape_rot,
grapevine esca,unknown,"https://en.wikipedia.org/wiki/Grapevine,_California",
gray leaf spot,fungus,https://en.wikipedia.org/wiki/Gray_leaf_spot,"Gray leaf spot (GLS) is a foliar fungal disease that affects grasses. In grasses other than maize, it is caused by Pyricularia grisea, which only infects perennial ryegrass, tall fescue, and St. Augustine grass in places with warm and rainy climates."
gray spot,unknown,https://en.wikipedia.org/wiki/Gray-spotted_Flycatcher,
grey leaf spot,fungus,https://en.wikipedia.org/wiki/Grey_leaf_spot,"Grey leaf spot (GLS) is a foliar fungal disease that affects maize, also known as corn. GLS is considered one of the most significant yield-limiting diseases of corn worldwide. There are two fungal pathogens that cause GLS: Cercospora zeae-maydis and Cercospora zeina. Symptoms seen on corn include l"
guignardia rot,fungus,https://en.wikipedia.org/wiki/Guignardia_citricarpa,"Citrus black spot is a fungal disease caused by Phyllosticta citricarpa(previously known as Guignardia citricarpa). This Ascomycete fungus affects citrus plants throughout subtropical climates, causing a reduction in both fruit quantity and quality.
Symptoms include both fruit and leaf lesions, the "
haunglongbing,unknown,https://en.wikipedia.org/wiki/Huanglongbing,
hemileia rust,fungus,https://en.wikipedia.org/wiki/Hemileia_vastatrix,"Hemileia vastatrix is a multicellular basidiomycete fungus of the order Pucciniales (previously also known as Uredinales) that causes coffee leaf rust (CLR), a disease affecting the coffee plant. Coffee serves as the obligate host of coffee rust, that is, the rust must have access to and come into p"
huanglongbing,unknown,https://en.wikipedia.org/wiki/Huanglongbing,
huánglóngbìng,unknown,https://en.wikipedia.org/wiki/Hu%C3%A1ngl%C3%B3ngb%C3%ACng,
isariopsis leaf spot,,,
late blight,fungus,https://en.wikipedia.org/wiki/Late_blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the"
late blight disease,,,
late blight of potato,fungus,https://en.wikipedia.org/wiki/Late_blight_of_potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the"
late blight of tomato,fungus,https://en.wikipedia.org/wiki/Late_Blight_of_Potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the"
lb,unknown,https://en.wikipedia.org/wiki/Lb,
leaf mold of tomato,,,
leaf rust,fungus,https://en.wikipedia.org/wiki/Leaf_rust,Several members of the order Pucciniales are commonly called leaf rusts:
leaf scorch of strawberry,,,
leaf spot of tomato,,,
lelystad virus,,,
maize rust,fungus,https://en.wikipedia.org/wiki/Maize_rust,"Puccinia sorghi, or common rust of maize, is a species of rust fungus that infects corn and species from the plant genus Oxalis."
maize streak disease,virus,https://en.wikipedia.org/wiki/Maize_streak_disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara"
maize streak virus,virus,https://en.wikipedia.org/wiki/Maize_streak_virus,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara"
maize streak virus (msv),,,
mosaic virus of tomato,,,
msd,unknown,https://en.wikipedia.org/wiki/MSDE,
mycosarcoma maydis,unknown,https://en.wikipedia.org/wiki/Mycosarcoma_maydis,
nepovirus,virus,https://en.wikipedia.org/wiki/Nepovirus,"Nepovirus is a genus of viruses in the order Picornavirales, in the family Secoviridae, in the subfamily Comovirinae. Plants serve as natural hosts. There are 78 species in this genus. Nepoviruses, unlike the genera Comovirus and Fabavirus in the subfamily Comovirinae, are transmitted by nematodes."
nepovirus group,virus,https://en.wikipedia.org/wiki/Nepovirus_group,"Nepovirus is a genus of viruses in the order Picornavirales, in the family Secoviridae, in the subfamily Comovirinae. Plants serve as natural hosts. There are 78 species in this genus. Nepoviruses, unlike the genera Comovirus and Fabavirus in the subfamily Comovirinae, are transmitted by nematodes."
northern blight of maize,,,
northern corn leaf blight,fungus,https://en.wikipedia.org/wiki/Northern_corn_leaf_blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr"
northern leaf blight,fungus,https://en.wikipedia.org/wiki/Northern_leaf_blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr"
oidium,fungus,https://en.wikipedia.org/wiki/Oidium_mangiferae,"Oidium mangiferae is a plant pathogen that infects mango trees causing powdery mildew. Powdery mildew of mango is an Ascomycete pathogen of the Erysiphales family that was initially described by Berthet in 1914, using samples collected from Brazil. O. mangiferae is found in all areas where mangoes h"
pacific islands (trust territory),unknown,"https://en.wikipedia.org/wiki/Pacific_Islands,_Trust_Territory_of_the",
peb,unknown,https://en.wikipedia.org/wiki/Peb,
pepper bacterial spot,,,
phytophthora blight,,,
phytophthora blight of potato,,,
potato blight,fungus,https://en.wikipedia.org/wiki/Potato_blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the"
potato late blight,fungus,https://en.wikipedia.org/wiki/Potato_late_blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the"
potyvirus,virus,https://en.wikipedia.org/wiki/Potyvirus,"Potyvirus is a genus of positive-strand RNA viruses (named after Potato virus Y (Potyvirus yituberosi, PVY)) in the family Potyviridae. Plants serve as natural hosts. Like begomoviruses, members of this genus may cause significant losses in agricultural, pastoral, horticultural, and ornamental crops"
potyvirus group,virus,https://en.wikipedia.org/wiki/Potyvirus_group,"Potyvirus is a genus of positive-strand RNA viruses (named after Potato virus Y (Potyvirus yituberosi, PVY)) in the family Potyviridae. Plants serve as natural hosts. Like begomoviruses, members of this genus may cause significant losses in agricultural, pastoral, horticultural, and ornamental crops"
powdery mildew,fungus,https://en.wikipedia.org/wiki/Powdery_mildew,"Erysiphaceae (commonly known as powdery mildews) is a family of ascomycete fungi in the order Helotiales. The members of this family are obligate parasites with a superficial mycelium that forms a characteristic white, powdery coating on their host plants.
The family contains seventeen genera and ar"
powdery mildew of cherry,,,
powdery mildew of squash,,,
powdery mildew of wheat,,,
prrs virus,virus,https://en.wikipedia.org/wiki/Para_virus,Human parainfluenza viruses (HPIVs) are the viruses that cause human parainfluenza. HPIVs are a paraphyletic group of four distinct single-stranded RNA viruses belonging to the Paramyxoviridae family. These viruses are closely associated with both human and veterinary disease. Virions are approximat
puccinia graminis,fungus,https://en.wikipedia.org/wiki/Puccinia_graminis,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
red rust,fungus,https://en.wikipedia.org/wiki/Red_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
rhizomania virus,,,
rice bacterial blight,,,
rice blast,fungus,https://en.wikipedia.org/wiki/Rice_blast,"Magnaporthe grisea, also known as rice blast fungus, rice rotten neck, rice seedling blight, blast of rice, oval leaf spot of graminea, pitting disease, ryegrass blast, Johnson spot, neck blast, wheat blast and Imochi (稲熱), is a plant-pathogenic fungus and model organism that causes a serious diseas"
rice blast disease,fungus,https://en.wikipedia.org/wiki/Rice_blast_disease,"Magnaporthe grisea, also known as rice blast fungus, rice rotten neck, rice seedling blight, blast of rice, oval leaf spot of graminea, pitting disease, ryegrass blast, Johnson spot, neck blast, wheat blast and Imochi (稲熱), is a plant-pathogenic fungus and model organism that causes a serious diseas"
rice brown spot,,,
scab of apple,,,
sclerotinia libertiana,fungus,https://en.wikipedia.org/wiki/Sclerotinia_libertiana,"Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conducive. S. sclerotiorum can also be known as cottony rot, watery soft rot, stem rot, drop, crown rot and blossom blight.  A key characteristic of this pathogen is its ability to produ"
sclerotinia sclerotiorum,fungus,https://en.wikipedia.org/wiki/Sclerotinia_sclerotiorum,"Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conducive. S. sclerotiorum can also be known as cottony rot, watery soft rot, stem rot, drop, crown rot and blossom blight.  A key characteristic of this pathogen is its ability to produ"
septoria leaf spot,fungus,https://en.wikipedia.org/wiki/Septoria_leaf_blotch,"Zymoseptoria tritici, synonyms Septoria tritici, Mycosphaerella graminicola, is a species of filamentous fungus, an ascomycete in the family 	Mycosphaerellaceae. It is a wheat plant pathogen causing septoria leaf blotch that is difficult to control due to resistance to multiple fungicides. The patho"
sigatoka disease,unknown,https://en.wikipedia.org/wiki/Sigatoka_disease_complex,
soybean rust,pest,https://en.wikipedia.org/wiki/Soybean_cyst_nematode,"The soybean cyst nematode (SCN), Heterodera glycines, is a species of nematode and agricultural pest notable for being the most damaging to soybean crop yields in the U.S., targeting the roots of soybean and other legume plants. When infection is severe SCNs cause stunting, yellowing, impaired canop"
soybean sudden death,,,
soybean sudden death syndrome,,,
spider mite of tomato,,,
spider mites,unknown,https://en.wikipedia.org/wiki/Spider_mite,
spm,unknown,https://en.wikipedia.org/wiki/SPM,
squash powdery mildew,,,
stem rust,fungus,https://en.wikipedia.org/wiki/Stem_rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere"
strawberry leaf scorch,,,
strawberry scorch,,,
sudden death syndrome,fungus,https://en.wikipedia.org/wiki/Sudden_death_syndrome,"Sudden death syndrome (SDS), a disease in soybean plants, quickly spread across the southern United States in the 1970s, eventually reaching most agricultural areas of the US. SDS is caused by multiple Fusarium fungi in the Fusarium solani complex. Fusarium virguliforme is the sole causal agent in N"
tetranychus infestation,,,
tomato bacterial spot,bacteria,https://en.wikipedia.org/wiki/Tomato_bacterial_spot,"Bacterial leaf spot on peppers and tomatoes is caused by a gram-negative and rod-shaped bacterium in the genus Xanthomonas. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers. There are four pathovars classified in three different s"
tomato blight,unknown,https://en.wikipedia.org/wiki/Tomato_blight,
tomato early blight,,,
tomato late blight,fungus,https://en.wikipedia.org/wiki/Tomato_Late_Blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the"
tomato leaf curl,virus,https://en.wikipedia.org/wiki/Tomato_leaf_curl_China_virus,"Tomato leaf curl China virus is a virus that infects tomato plants in China and was first described in 2011. The virus infects tomatoes in the Chinese province of Guangxi, and it is transmitted by the whitefly.  The current EPPO name is TOLCCV, but its original name in the literature was ToLCCNV.
It"
tomato leaf mold,fungus,https://en.wikipedia.org/wiki/Tomato_leaf_mold,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold. P. fulva only attacks tomato plants, especially the foliage, and it is a common disease in greenhouses, but can also occur in the field. The pathoge"
tomato mold,virus,https://en.wikipedia.org/wiki/Tomato_mottle_mosaic_virus,"Tomato mottle mosaic virus is a Tobamovirus which infects Solanum lycopersicum. First detected in Mexico in 2013 from S. lycopersicum samples taken in 2009, ToMMV has since been found worldwide. In 2014, some S. lycopersicum samples from Florida in 2010 and 2012 and a Nicotiana tabacum 'Xanthi nc' s"
tomato mosaic,virus,https://en.wikipedia.org/wiki/Tomato_mosaic_virus,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.
tomato mosaic virus,virus,https://en.wikipedia.org/wiki/Tomato_mosaic_virus,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.
tomato septoria leaf spot,,,
tomato spider mites,,,
tomato yellow leaf curl virus,virus,https://en.wikipedia.org/wiki/Tomato_yellow_leaf_curl_virus,"Tomato yellow leaf curl virus (TYLCV) is a DNA virus from the genus Begomovirus and the family Geminiviridae.  TYLCV is one of the most serious diseases affecting tomato plants, especially in tropical and subtropical areas, where it often causes major crop losses. This virus is transmitted by an ins"
tomv,virus,https://en.wikipedia.org/wiki/ToMV,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.
trust territory of pacific islands,unknown,https://en.wikipedia.org/wiki/Trust_Territory_of_the_Pacific_Islands,
turcicum blight,,,
turcicum leaf blight,fungus,https://en.wikipedia.org/wiki/Turcicum_leaf_blight,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr"
two spotted spider mite,pest,https://en.wikipedia.org/wiki/Two-spotted_spider_mite,"Tetranychus urticae (common names include red spider mite and two-spotted spider mite) is a species of plant-feeding mite generally considered to be a pest. It is the most widely known member of the family Tetranychidae or spider mites. Its genome was fully sequenced in 2011, and was the first genom"
tylcv,unknown,https://en.wikipedia.org/wiki/Tylvalosin,
venturia scab,fungus,https://en.wikipedia.org/wiki/Venturia_carpophila,"Venturia carpophila is a species of fungus in the family Venturiaceae. A plant pathogen, it causes freckle, black spot, peach scab or black scab of peach. It has a cosmopolitan distribution. The species was described as new to science in 1961 by the Australian mycologist Eileen E. Fisher."
verticillium wilt,fungus,https://en.wikipedia.org/wiki/Verticillium_wilt,"Verticillium wilt is a wilt disease affecting over 350 species of eudicot plants. It is caused by six species of Verticillium fungi: V. dahliae, V. albo-atrum, V. longisporum, V. nubilum, V. theobromae and V. tricorpus. Many economically important plants are susceptible including cotton, tomatoes, p"
wheat brown rust,fungus,https://en.wikipedia.org/wiki/Wheat_brown_rust,"Wheat leaf rust (Puccinia triticina) is a fungal disease that affects wheat, barley, rye stems, leaves and grains. In temperate zones it is destructive on winter wheat because the pathogen overwinters. Infections can lead up to 20% yield loss. The pathogen is a Puccinia rust fungus. It is the most p"
wheat fusarium head blight,fungus,https://en.wikipedia.org/wiki/Wheat_fusarium_head_blight,"Gibberella zeae, also known by the name of its anamorph Fusarium graminearum, is a fungal plant pathogen which causes fusarium head blight (FHB), a devastating disease on wheat and barley. The pathogen is responsible for billions of dollars in economic losses worldwide each year. Infection causes sh"
wheat leaf rust,fungus,https://en.wikipedia.org/wiki/Wheat_leaf_rust,"Wheat leaf rust (Puccinia triticina) is a fungal disease that affects wheat, barley, rye stems, leaves and grains. In temperate zones it is destructive on winter wheat because the pathogen overwinters. Infections can lead up to 20% yield loss. The pathogen is a Puccinia rust fungus. It is the most p"
wheat loose smut,,,
wheat streak mosaic virus,virus,https://en.wikipedia.org/wiki/Wheat_streak_mosaic_virus,"Wheat streak mosaic virus (WSMV) is a plant pathogenic virus of the family Potyviridae that infects plants in the family Poaceae, especially wheat (Triticum spp.); it is globally distributed and vectored by the wheat curl mite, particularly in regions where wheat is widely grown. First described in "
wheat stripe rust,fungus,https://en.wikipedia.org/wiki/Wheat_stripe_rust,"Wheat yellow rust (Puccinia striiformis f.sp. tritici), also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat (Puccinia graminis f.sp. tritici) and leaf rust (Puccinia triticina f.sp. tritici)."
wheat yellow rust,fungus,https://en.wikipedia.org/wiki/Wheat_yellow_rust,"Wheat yellow rust (Puccinia striiformis f.sp. tritici), also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat (Puccinia graminis f.sp. tritici) and leaf rust (Puccinia triticina f.sp. tritici)."
whetzelinia sclerotiorum,fungus,https://en.wikipedia.org/wiki/Whetzelinia_sclerotiorum,"Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conducive. S. sclerotiorum can also be known as cottony rot, watery soft rot, stem rot, drop, crown rot and blossom blight.  A key characteristic of this pathogen is its ability to produ"
wpm,unknown,https://en.wikipedia.org/wiki/Wpm,
wsmv,unknown,https://en.wikipedia.org/wiki/WSMV-TV,
xoo blight,,,
yellow curl virus,,,
yellow leaf curl,,,
yellow rust of wheat,fungus,https://en.wikipedia.org/wiki/Yellow_rust_in_wheat,"Wheat yellow rust (Puccinia striiformis f.sp. tritici), also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat (Puccinia graminis f.sp. tritici) and leaf rust (Puccinia triticina f.sp. tritici)."
yellow shoot disease,unknown,https://en.wikipedia.org/wiki/Yellow_shoot_disease,
